name,decade,year,month,windspeed_mph,pressure_mbar
Cuba,1921,1924,October,165,910
San Felipe IIOkeechobee,1921,1928,September,160,929
Bahamas,1931,1932,September,160,921
Cuba,1931,1932,November,175,915
Cubaâ€“Brownsville,1931,1933,August,160,930
Tampico,1931,1933,September,160,929
Labor Day,1931,1935,September,185,892
New England,1931,1938,September,160,940
Carol,1951,1953,September,160,929
Janet,1951,1955,September,175,914
Carla,1961,1961,September,175,931
Hattie,1961,1961,October,160,920
Beulah,1961,1967,September,160,923
Camille,1961,1969,August,175,900
Edith,1971,1971,September,160,943
Anita,1971,1977,September,175,926
David,1971,1979,August,175,924
Allen,1971,1980,August,190,899
Gilbert,1981,1988,September,185,888
Hugo,1981,1989,September,160,918
Andrew,1991,1992,August,175,922
Mitch,1991,1998,October,180,905
Isabel,2001,2003,September,165,915
Ivan,2001,2004,September,165,910
Emily,2001,2005,July,160,929
Katrina,2001,2005,August,175,902
Rita,2001,2005,September,180,895
Wilma,2001,2005,October,185,882
Dean,2001,2007,August,175,905
Felix,2001,2007,September,175,929
Matthew,2011,2016,October,165,934
Irma,2011,2017,September,180,914
Maria,2011,2017,September,175,908
